id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
115,1,4/4/2006 11:03:38,4/4/2006 11:03:38,41,50,,,
113,1,4/4/2006 11:03:12,4/4/2006 11:03:12,72,50,,,
100,1,4/4/2006 11:00:54,4/4/2006 11:00:54,57,100,,,
74,1,3/24/2006 10:53:13,3/24/2006 10:53:13,48,100,,,
82,1,3/24/2006 10:54:58,3/24/2006 10:54:58,34,100,,,
78,1,3/24/2006 10:54:04,3/24/2006 10:54:04,41,200,,,
72,1,3/24/2006 10:41:30,3/24/2006 10:41:30,81,200,,,
103,1,4/4/2006 11:01:35,4/4/2006 11:01:35,43,250,,,
65,2,3/22/2006 16:08:29,3/22/2006 16:08:59,51,10,,,
66,2,3/22/2006 16:08:37,3/22/2006 16:08:59,80,10,,,
64,2,3/22/2006 16:08:19,3/22/2006 16:08:59,7,10,,,
67,2,3/22/2006 16:09:46,3/22/2006 16:10:27,1,15,,,
69,2,3/22/2006 16:11:39,3/24/2006 11:00:55,19,20,,,
68,2,3/22/2006 16:10:06,3/22/2006 16:10:27,43,20,,,
63,2,3/22/2006 16:07:56,3/24/2006 11:03:00,80,30,,,
133,2,4/4/2006 11:42:24,4/4/2006 11:42:26,8,3,,,
126,2,4/4/2006 11:38:48,4/4/2006 11:38:53,43,5,,,
84,2,3/24/2006 14:48:15,4/4/2006 11:41:14,6,10,,,
99,2,4/3/2006 13:50:08,4/3/2006 13:50:15,48,10,,,
125,2,4/4/2006 11:38:27,4/4/2006 11:38:32,41,10,,,
85,2,3/24/2006 14:48:23,4/4/2006 11:41:14,4,10,,,
110,2,4/4/2006 11:02:39,4/4/2006 11:41:14,19,10,,,"Fill Back Ordered product, Order #42"
70,2,3/22/2006 16:11:56,3/24/2006 10:59:41,48,10,,,
129,2,4/4/2006 11:40:13,4/4/2006 11:40:16,80,15,,,
71,2,3/22/2006 16:12:29,3/24/2006 10:57:38,8,17,,,
92,2,3/24/2006 14:55:03,4/4/2006 11:06:56,21,20,,,
130,2,4/4/2006 11:40:32,4/4/2006 11:40:38,74,20,,,
128,2,4/4/2006 11:39:50,4/4/2006 11:39:53,8,20,,,
93,2,3/24/2006 14:55:39,4/4/2006 11:06:13,5,25,,,
106,2,4/4/2006 11:01:58,4/4/2006 11:07:37,8,25,,,"Fill Back Ordered product, Order #48"
112,2,4/4/2006 11:02:58,4/4/2006 11:07:37,19,25,,,"Fill Back Ordered product, Order #48"
122,2,4/4/2006 11:37:06,4/4/2006 11:37:09,4,30,,,
81,2,3/24/2006 10:54:35,3/24/2006 11:02:02,19,30,,,"Fill Back Ordered product, Order #33"
119,2,4/4/2006 11:35:51,4/4/2006 11:35:54,7,30,,,
94,2,3/24/2006 14:55:52,4/4/2006 11:06:13,41,30,,,
118,2,4/4/2006 11:35:50,4/4/2006 11:35:54,51,30,,,
95,2,3/24/2006 14:56:09,4/4/2006 11:06:13,40,30,,,
127,2,4/4/2006 11:39:12,4/4/2006 11:39:29,40,40,,,
123,2,4/4/2006 11:37:45,4/4/2006 11:37:49,48,40,,,
134,2,4/4/2006 11:42:48,4/4/2006 11:43:08,20,40,,,
120,2,4/4/2006 11:36:15,4/4/2006 11:36:21,17,40,,,
131,2,4/4/2006 11:41:39,4/4/2006 11:41:45,72,40,,,
135,2,4/4/2006 11:43:05,4/4/2006 11:43:08,52,40,,,
124,2,4/4/2006 11:38:07,4/4/2006 11:38:11,48,40,,,
77,2,3/24/2006 10:53:39,3/24/2006 10:56:57,43,300,,,"Fill Back Ordered product, Order #38"
108,2,4/4/2006 11:02:19,4/4/2006 11:08:14,34,300,,,"Fill Back Ordered product, Order #47"
116,2,4/4/2006 11:03:39,4/4/2006 11:09:24,41,50,,,"Fill Back Ordered product, Order #45"
114,2,4/4/2006 11:03:14,4/4/2006 11:08:49,72,50,,,"Fill Back Ordered product, Order #46"
91,2,3/24/2006 14:51:03,4/4/2006 11:09:24,40,50,,,
132,2,4/4/2006 11:42:17,4/4/2006 11:42:26,3,50,,,
117,2,4/4/2006 11:04:55,4/4/2006 11:05:04,34,87,,,
121,2,4/4/2006 11:36:39,4/4/2006 11:36:47,6,90,,,
101,2,4/4/2006 11:00:56,4/4/2006 11:08:49,57,100,,,"Fill Back Ordered product, Order #46"
83,2,3/24/2006 10:55:02,3/24/2006 11:03:00,34,100,,,"Fill Back Ordered product, Order #30"
75,2,3/24/2006 10:53:16,3/24/2006 10:55:46,48,100,,,"Fill Back Ordered product, Order #39"
73,2,3/24/2006 10:41:33,3/24/2006 10:41:42,81,200,,,"Fill Back Ordered product, Order #40"
79,2,3/24/2006 10:54:07,3/24/2006 10:58:40,41,200,,,"Fill Back Ordered product, Order #36"
98,3,3/30/2006 17:24:33,3/30/2006 17:24:33,34,1,,,
97,3,3/30/2006 17:23:27,3/30/2006 17:23:27,34,10,,,
96,3,3/30/2006 16:46:34,3/30/2006 16:46:34,34,12,,,
86,3,3/24/2006 14:49:16,3/24/2006 14:49:16,80,20,,,
88,3,3/24/2006 14:50:09,3/24/2006 14:50:09,1,25,,,
90,3,3/24/2006 14:50:18,3/24/2006 14:50:18,81,25,,,
89,3,3/24/2006 14:50:14,3/24/2006 14:50:14,43,25,,,
104,3,4/4/2006 11:01:37,4/4/2006 11:01:37,43,300,,,"Fill Back Ordered product, Order #41"
87,3,3/24/2006 14:49:20,3/24/2006 14:49:20,81,50,,,
136,3,4/25/2006 17:04:05,4/25/2006 17:04:57,56,110,,,
